"[43.0349931, -87.922497]","Milwaukee, WI",2019-12-04 17:07:22,Nick Penzenstadler,"b""It's a little surreal seeing Eisen play such a prominent role in this after interviewing him a bunch in '15-'16 war\xe2\x80\xa6 https://t.co/U6hTOQkrjr"""
"[27.7567667, -81.4639835]",florida,2019-12-04 17:07:22,"woman up. fight for democracy, truth to power",b'@GOP @RepDougCollins Yes. It\xe2\x80\x99s absolutely shining the light that the GOP has lied and is helping Trump undermine our constitution.'
"[39.5162234, -76.9382069]","Maryland, USA",2019-12-04 17:07:22,Young M.D.,"b'RT @ScottAdamsSays: President Trump called Prime Minister Justin Trudeau ""two faced"" after seeing some videos that appear to show Trudeau m\xe2\x80\xa6'"
"[33.7500378, -117.8704931]",Orange County CA ,2019-12-04 17:07:22,Bacon Sandwich,b'RT @michaelbeatty3: TRUMP \nDERANGEMENT\nSYNDROME\non display for the world to see \nTHESE PEOPLE ARE SICK\n@realDonaldTrump https://t.co/hZLmcP\xe2\x80\xa6'
"[37.3541132, -121.9551744]","Santa Clara, CA",2019-12-04 17:07:22,Nathan Becker,"b""RT @Hownotamovie1: @atrupar She has pinpointed the exact reason why every American should be calling for Trump's resignation."""
"[39.7837304, -100.4458825]",United States,2019-12-04 17:07:22,April492018,b'@jepence What work ?  These lunatics have done nothing for their constituents in their districts IF they had their\xe2\x80\xa6 https://t.co/DtFcWdPqDI'
"[41.8755616, -87.6244212]",Chicago,2019-12-04 17:07:22,1 Froggy Evening 🌊🌊🍑🎃🍄,b'RT @Astrid12022295: I\xe2\x80\x99m sorry to say trump won\xe2\x80\x99t be a MAN to testify \xf0\x9f\x9b\x91yet he complains constantly. You are hiding your hideous crimes. Isn\xe2\x80\x99\xe2\x80\xa6'
"[47.613566, -122.3465134]",EDGE KNOT CITY,2019-12-04 17:07:22,here cums santa paws,b'Impeachment hearing on the tv in the break room. White Boomer co-workers think the investigation is a waste of mone\xe2\x80\xa6 https://t.co/MifYDQa7LW'
"[33.6037312, -117.5869581]","Coto de Caza, Ca ",2019-12-04 17:07:22,skyking48,b'RT @JackPosobiec: BREAKING: Professor Turley just testified there is a lack of evidence to impeach Trump and instead an abundance of anger\xe2\x80\xa6'
"[30.2711286, -97.7436995]","Austin, Texas",2019-12-04 17:07:22,PJ,"b'RT @TeaPainUSA: Another day where old white Republican men cower at the specter of a smart, powerful, well-spoken woman.\n\nhttps://t.co/6Yez\xe2\x80\xa6'"
"[35.6729639, -79.0392919]","North Carolina, USA",2019-12-04 17:07:22,nancy garrison,b'RT @ceraldi_carleen: Is Smirnoff trolling Trump with this ad? https://t.co/tWHr2i5B6s'
